year,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg,subdivision,country,type,60kgs_bag,nonbearing_trees,bearing_trees,nonbear_hectares,bearing_hectares,bearing_trees_per_hectare,nonbearing_trees_per_hectare
2002,,,,,,,,,Espirito Santo,Brazil,Arabica,2.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
2002,,,,,,,,,Espirito Santo,Brazil,Robusta,7.5,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
2002,,,,,,,,,Minas Gerais,Brazil,Arabica,16.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
2002,,,,,,,,,Parana,Brazil,Arabica,0.5,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
2002,,,,,,,,,Sao Paulo,Brazil,Arabica,3.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0
2003,,,,,,,,,Espirito Santo,Brazil,Arabica,3.0,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
2003,,,,,,,,,Espirito Santo,Brazil,Robusta,8.5,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
2003,,,,,,,,,Minas Gerais,Brazil,Arabica,26.7,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
2003,,,,,,,,,Parana,Brazil,Arabica,2.6,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
2003,,,,,,,,,Sao Paulo,Brazil,Arabica,5.9,1125.0,5265.0,315.0,2360.0,2231.0,3577.0
2004,,,,,,,,,Espirito Santo,Brazil,Arabica,1.7,631.0,5050.0,205.0,2174.0,2323.0,3075.0
2004,,,,,,,,,Espirito Santo,Brazil,Robusta,6.2,631.0,5050.0,205.0,2174.0,2323.0,3075.0
2004,,,,,,,,,Minas Gerais,Brazil,Arabica,14.4,631.0,5050.0,205.0,2174.0,2323.0,3075.0
2004,,,,,,,,,Parana,Brazil,Arabica,2.2,631.0,5050.0,205.0,2174.0,2323.0,3075.0
2004,,,,,,,,,Sao Paulo,Brazil,Arabica,3.1,631.0,5050.0,205.0,2174.0,2323.0,3075.0
2005,,,,,,,,,Espirito Santo,Brazil,Arabica,2.5,466.0,5255.0,148.0,2305.0,2280.0,3149.0
2005,,,,,,,,,Espirito Santo,Brazil,Robusta,5.6,466.0,5255.0,148.0,2305.0,2280.0,3149.0
2005,,,,,,,,,Minas Gerais,Brazil,Arabica,21.4,466.0,5255.0,148.0,2305.0,2280.0,3149.0
2005,,,,,,,,,Parana,Brazil,Arabica,2.6,466.0,5255.0,148.0,2305.0,2280.0,3149.0
2005,,,,,,,,,Sao Paulo,Brazil,Arabica,4.9,466.0,5255.0,148.0,2305.0,2280.0,3149.0
2006,,,,,,,,,Espirito Santo,Brazil,Arabica,2.2,581.0,5330.0,175.0,2298.0,2319.0,3320.0
2006,,,,,,,,,Espirito Santo,Brazil,Robusta,6.2,581.0,5330.0,175.0,2298.0,2319.0,3320.0
2006,6.670967741935484,21.80308749513693,27.19032258064516,18.654838709677417,97.12903225806453,57.80645161290322,9.706451612903225,2.0752068542724222,Minas Gerais,Brazil,Arabica,16.3,581.0,5330.0,175.0,2298.0,2319.0,3320.0
2006,,,,,,,,,Parana,Brazil,Arabica,1.8,581.0,5330.0,175.0,2298.0,2319.0,3320.0
2006,,,,,,,,,Sao Paulo,Brazil,Arabica,3.3,581.0,5330.0,175.0,2298.0,2319.0,3320.0
2007,,,,,,,,,Espirito Santo,Brazil,Arabica,2.2,563.0,5730.0,186.0,2245.0,2552.0,3030.0
2007,,,,,,,,,Espirito Santo,Brazil,Robusta,7.8,563.0,5730.0,186.0,2245.0,2552.0,3030.0
2007,1.86625,23.04099946713907,27.649375,18.753125,87.8375,48.49375,8.749375,2.0696048704445977,Minas Gerais,Brazil,Arabica,23.7,563.0,5730.0,186.0,2245.0,2552.0,3030.0
2007,,,,,,,,,Parana,Brazil,Arabica,2.5,563.0,5730.0,186.0,2245.0,2552.0,3030.0
2007,,,,,,,,,Sao Paulo,Brazil,Arabica,4.9,563.0,5730.0,186.0,2245.0,2552.0,3030.0
2008,,,,,,,,,Espirito Santo,Brazil,Arabica,2.2,679.0,5720.0,196.0,2235.0,2559.0,3468.0
2008,,,,,,,,,Espirito Santo,Brazil,Robusta,8.2,679.0,5720.0,196.0,2235.0,2559.0,3468.0
2008,3.777049180327869,20.68239981785064,27.0,16.21639344262295,96.13661202185791,51.41530054644809,8.865027322404371,1.584408410548824,Minas Gerais,Brazil,Arabica,16.85,679.0,5720.0,196.0,2235.0,2559.0,3468.0
2008,,,,,,,,,Parana,Brazil,Arabica,1.95,679.0,5720.0,196.0,2235.0,2559.0,3468.0
2008,,,,,,,,,Sao Paulo,Brazil,Arabica,3.1,679.0,5720.0,196.0,2235.0,2559.0,3468.0
